04:52:30,05/10/61
05:40:30,10/03/61
06:09:00,11/08/61
06:23:00,11/24/61
06:43:00,12/20/61
06:48:00,01/16/62
06:42:00,01/30/62
04:52:00,05/11/62
04:38:15,06/18/62
06:43:25,01/29/64
06:37:00,02/07/64
06:16:45,02/28/64
06:12:45,03/02/64
06:08:15,03/05/64
05:46:30,03/22/64
05:28:30,04/05/64
04:54:30,05/07/64
04:50:30,05/13/64
04:46:30,05/18/64
04:40:30,05/27/64
04:38:00,06/10/64
04:42:00,07/01/64
05:08:15,08/12/64
05:20:00,08/31/64
05:34:15,09/23/64
05:41:45,10/05/64
05:46:45,10/11/64
05:55:00,10/22/64
05:58:00,10/25/64
05:59:45,10/27/64
06:03:15,11/01/64
06:07:30,11/06/64
06:12:30,11/12/64
06:18:15,11/18/64
06:27:45,11/29/64
06:28:45,11/30/64
06:46:15,12/27/64
06:47:45,01/17/65
06:46:00,01/22/65
06:43:15,01/28/65
06:41:00,02/01/65
06:39:15,02/03/65
06:33:00,02/11/65
06:26:45,02/18/65
06:25:30,02/19/65
06:18:00,02/26/65
05:57:30,03/14/65
04:48:06,05/16/65
06:48:44,01/06/66
06:48:00,01/16/66
04:39:30,05/31/66
06:08:15,11/07/77
06:09:40,11/08/77
06:14:32,11/14/77
06:15:15,11/15/77
06:29:21,12/01/77
06:32:27,12/05/77
06:37:51,12/12/77
06:42:23,12/19/77
06:44:37,12/23/77
06:46:50,12/29/77
06:09:35,11/09/79
05:32:20,09/20/80
06:04:25,11/03/83
05:32:13,04/02/88
05:15:00,04/16/88
05:34:00,04/01/89
05:16:35,04/15/89
05:11:30,04/20/89
06:38:40,02/04/90
06:34:55,02/09/90
05:26:22,04/07/90
05:18:15,04/14/90
05:28:45,09/15/90
05:42:40,10/06/90
05:48:15,10/13/90
06:24:40,02/20/91
05:41:30,03/27/91
05:14:00,04/18/91
04:39:00,06/03/91
04:38:13,06/10/91
04:37:50,06/14/91
04:38:04,06/15/91
05:04:15,08/07/91
05:42:15,10/06/91
05:44:22,10/09/91
05:01:27,08/01/92
05:05:00,08/07/92
